Company Name,Location,Datum,Status Rocket,Cost,Status Mission,Country,Year,Rocket,Satellite
Eurockot,"Site 133/3, Plesetsk Cosmodrome, Russia","Tue Feb 16, 2016 17:57 UTC",StatusRetired,41.8 ,Success,Russia,2016,Rokot/Briz KM,Sentinel-3A
ULA,"SLC-6, Vandenberg AFB, California, USA","Wed Feb 10, 2016 11:40 UTC",StatusRetired,,Success,USA,2016,"Delta IV Medium+ (5,2)",NROL-45
KCST,"Pad 1, Sohae Satellite Launching Station, North Korea","Sun Feb 07, 2016 00:30 UTC",StatusActive,,Success,North Korea,2016,Unha-3,Kwangmyngsng-4
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Sun Feb 07, 2016 00:21 UTC",StatusActive,48.5 ,Success,Russia,2016,Soyuz 2.1b/Fregat,GLONASS-M No.50S
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Fri Feb 05, 2016 13:38 UTC",StatusActive,109.0 ,Success,USA,2016,Atlas V 401,GPS IIF-12
CASC,"LC-2, Xichang Satellite Launch Center, China","Mon Feb 01, 2016 07:29 UTC",StatusActive,,Success,China,2016,Long March 3C/YZ-1,BeiDou M3-S
ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Fri Jan 29, 2016 22:20 UTC",StatusActive,65.0 ,Success,Kazakhstan,2016,Proton-M/Briz-M,Eutelsat 9B
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Wed Jan 27, 2016 23:20 UTC",StatusActive,200.0 ,Success,France,2016,Ariane 5 ECA,Intelsat 29e
Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA","Fri Jan 22, 2016",StatusActive,,Success,USA,2016,New Shepard,NS-3
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Wed Jan 20, 2016 04:01 UTC",StatusActive,31.0 ,Success,India,2016,PSLV-XL,IRNSS-1E
SpaceX,"SLC-4E, Vandenberg AFB, California, USA","Sun Jan 17, 2016 18:42 UTC",StatusRetired,56.5 ,Success,USA,2016,Falcon 9 v1.1,Jason-3
CASC,"LC-3, Xichang Satellite Launch Center, China","Fri Jan 15, 2016 16:57 UTC",StatusActive,29.15 ,Success,China,2016,Long March 3B/E,Belintersat 1
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Tue Dec 22, 2015 01:29 UTC",StatusRetired,62.0 ,Success,USA,2015,Falcon 9 Block 3,OG2 Mission 2
Arianespace,"ELS, Guiana Space Centre, French Guiana, France","Thu Dec 17, 2015 11:51 UTC",StatusActive,,Success,France,2015,Soyuz ST-B/Fregat-MT,Galileo FOC FM8-FM9
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Wed Dec 16, 2015 12:30 UTC",StatusActive,21.0 ,Success,India,2015,PSLV-CA,TeLEOS-1 & Rideshares
Roscosmos,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Fri Dec 11, 2015 13:45 UTC",StatusActive,,Success,Kazakhstan,2015,Zenit-3 SLBF,Elektro-L n†­2
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Sun Dec 06, 2015 21:44 UTC",StatusActive,109.0 ,Success,USA,2015,Atlas V 401,CRS OA-4
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Sat Dec 05, 2015 14:08 UTC",StatusActive,,Partial Failure,Russia,2015,Soyuz 2.1v/Volga,Cosmos 2511 and 2512
Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France","Thu Dec 03, 2015 04:04 UTC",StatusActive,37.0 ,Success,France,2015,Vega,LISA Pathfinder
MHI,"LA-Y1, Tanegashima Space Center, Japan","Tue Nov 24, 2015 06:50 UTC",StatusActive,,Success,Japan,2015,H-IIA 204,Telstar 12 Vantage
Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA","Mon Nov 23, 2015",StatusActive,,Success,USA,2015,New Shepard,NS-2
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Tue Nov 10, 2015 21:34 UTC",StatusActive,200.0 ,Success,France,2015,Ariane 5 ECA,"Arabsat 6B, GSAT-15"
Sandia,"LP-41, Kauai, Pacific Missile Range Facility","Wed Nov 04, 2015",StatusActive,15.0 ,Failure,Pacific Missile Range Facility,2015,Super Stripy,"HiakaSat, STACEM & Others"
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Sat Oct 31, 2015 16:13 UTC",StatusActive,109.0 ,Success,USA,2015,Atlas V 401,GPS IIF-11
ULA,"SLC-3E, Vandenberg AFB, California, USA","Thu Oct 08, 2015 12:49 UTC",StatusActive,109.0 ,Success,USA,2015,Atlas V 401,NROL-55
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Fri Oct 02, 2015 10:28 UTC",StatusActive,123.0 ,Success,USA,2015,Atlas V 421,Morelos-3
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Wed Sep 30, 2015 20:30 UTC",StatusActive,200.0 ,Success,France,2015,Ariane 5 ECA,"NBN Co 1A, ARSAT-2"
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Mon Sep 28, 2015 04:30 UTC",StatusActive,31.0 ,Success,India,2015,PSLV-XL,Astrosat & Rideshares
CASC,"Site 95, Jiuquan Satellite Launch Center, China","Fri Sep 25, 2015",StatusActive,5.3 ,Success,China,2015,Long March 11,Pujian 1 & Others
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia","Wed Sep 23, 2015 21:59 UTC",StatusRetired,41.8 ,Success,Russia,2015,Rokot/Briz KM,Cosmos 2507 to 2509
CASC,"LC-16, Taiyuan Satellite Launch Center, China","Sat Sep 19, 2015 23:01 UTC",StatusActive,,Success,China,2015,Long March 6,Demo Flight
Arianespace,"ELS, Guiana Space Centre, French Guiana, France","Fri Sep 11, 2015 02:08 UTC",StatusActive,,Success,France,2015,Soyuz ST-B/Fregat-MT,Galileo FOC FM05-FM06
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Wed Sep 02, 2015 10:18 UTC",StatusActive,153.0 ,Success,USA,2015,Atlas V 551,MUOS-4
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Thu Aug 27, 2015 11:22 UTC",StatusActive,47.0 ,Success,India,2015,GSLV Mk II,GSAT-6
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Thu Aug 20, 2015 20:34 UTC",StatusActive,200.0 ,Success,France,2015,Ariane 5 ECA,"Eutelsat 8 West B, Intelsat 34"
MHI,"LA-Y2, Tanegashima Space Center, Japan","Wed Aug 19, 2015 11:50 UTC",StatusRetired,112.5 ,Success,Japan,2015,H-IIB,HTV-5
ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA","Fri Jul 24, 2015 00:07 UTC",StatusRetired,,Success,USA,2015,"Delta IV Medium+ (5,4)",WGS-7
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Wed Jul 15, 2015 21:42 UTC",StatusActive,200.0 ,Success,France,2015,Ariane 5 ECA,"Star One C4, MSG-4"
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Wed Jul 15, 2015 15:36 UTC",StatusActive,109.0 ,Success,USA,2015,Atlas V 401,GPS IIF-10
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Fri Jul 10, 2015 16:28 UTC",StatusActive,31.0 ,Success,India,2015,PSLV-XL,UK-DMC3A/B/C & Rideshares
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Sun Jun 28, 2015 14:21 UTC",StatusRetired,56.5 ,Failure,USA,2015,Falcon 9 v1.1,CRS-7
Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France","Tue Jun 23, 2015 01:51 UTC",StatusActive,37.0 ,Success,France,2015,Vega,Sentinel-2A
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Wed May 27, 2015 21:16 UTC",StatusActive,200.0 ,Success,France,2015,Ariane 5 ECA,"DirecTV-15, Sky Mexico 1"
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Wed May 20, 2015 15:05 UTC",StatusActive,120.0 ,Success,USA,2015,Atlas V 501,OTV-4
Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA","Wed Apr 29, 2015",StatusActive,,Success,USA,2015,New Shepard,NS-1
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Mon Apr 27, 2015 23:03 UTC",StatusRetired,56.5 ,Success,USA,2015,Falcon 9 v1.1,Turkmen??lem52E/MonacoSat
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Sun Apr 26, 2015 20:00 UTC",StatusActive,200.0 ,Success,France,2015,Ariane 5 ECA,"Thor 7, SICRAL-2"
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Wed Apr 15, 2015 20:10 UTC",StatusRetired,56.5 ,Success,USA,2015,Falcon 9 v1.1,CRS-6
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia","Tue Mar 31, 2015 13:47 UTC",StatusRetired,41.8 ,Success,Russia,2015,Rokot/Briz KM,Cosmos 2504 & Goniets-M 21 to 23
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Sat Mar 28, 2015 11:49 UTC",StatusActive,31.0 ,Success,India,2015,PSLV-XL,IRNSS-1D
